categoria,subcategoria,nombre,marca,tipo,formato
"Lácteos, Huevos y Congelados",Leche,Leche entera 1 L,Colun,entera,1 L
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada 1 L,Soprole,semidescremada,1 L
"Lácteos, Huevos y Congelados",Leche,Leche descremada 1 L,Loncoleche,descremada,1 L
"Lácteos, Huevos y Congelados",Leche,Leche sin lactosa 1 L,Colun,sin lactosa,1 L
"Lácteos, Huevos y Congelados",Leche,Leche alta proteína 1 L,Soprole,proteína,1 L
"Lácteos, Huevos y Congelados",Huevos,Huevos blancos 12 unidades,La Granja,blancos,12 unidades
"Lácteos, Huevos y Congelados",Yogurt,Yogurt batido frutilla 1 kg,Soprole,batido,1 kg
Despensa,Arroz,Arroz grado 1 1 kg,Tucapel,grado 1,1 kg
Despensa,Aceite,Aceite maravilla 1 L,Chef,maravilla,1 L
"Licores, Bebidas y Aguas",Bebidas,Coca-Cola zero 1.5 L,Coca-Cola,zero,1.5 L
Limpieza,Detergente,Detergente líquido 3 L,Drive,líquido,3 L
Limpieza,Papel higiénico,Papel higiénico doble hoja 24 rollos,Elite,doble hoja,24 rollos
Mascotas,Alimento gatos,Alimento gato adulto 3 kg,Master Cat,adulto,3 kg
